company_id,record_id,company_name,open_win,open_draw,open_lose,open_win_prob,open_draw_prob,open_lose_prob,open_payout_rate,cur_win,cur_draw,cur_lose,cur_win_prob,cur_draw_prob,cur_lose_prob,cur_payout_rate,kelly_win,kelly_draw,kelly_lose,change_time,label,flag1,flag2,hist_kelly_win,hist_kelly_draw,hist_kelly_lose
1359,151090476,1xBit,2.62,3.2,2.6,35.38,28.97,35.65,92.7,2.79,3.04,2.55,33.2,30.47,36.33,92.63,0.99,0.91,0.89,"2026,03-1,06,21,13,00",1xBi*,0,0,0.93,0.95,0.90
1370,150949004,20Bet,2.29,3.24,2.95,40.27,28.46,31.26,92.22,2.57,2.98,2.66,35.35,30.49,34.16,90.86,0.91,0.89,0.92,"2026,03-1,06,23,05,00",20Be*,0,0,0.81,0.97,1.03
1229,150942372,22Bet,2.33,3.3,3,40.28,28.44,31.28,93.85,2.56,3.05,2.77,36.19,30.37,33.44,92.64,0.91,0.91,0.96,"2026,03-1,06,23,05,00",22Be*,0,0,0.83,0.98,1.04
1399,150965422,4rabet,2.32,3.15,2.96,39.68,29.22,31.1,92.05,2.5,3.1,2.74,36.78,29.66,33.56,91.95,0.89,0.92,0.95,"2026,03-1,06,23,05,00",4rabe*,0,0,0.82,0.94,1.03
616,151025716,888Sport,2.62,2.9,2.5,33.88,30.61,35.51,88.77,2.5,2.9,2.7,35.87,30.92,33.21,89.67,0.89,0.86,0.94,"2026,03-1,06,23,05,00",888Sp*(直布罗陀),0,0,0.93,0.86,0.87
1362,150942800,888Starz,2.33,3.3,3.01,40.32,28.47,31.21,93.95,2.6,3.08,2.7,35.62,30.07,34.3,92.62,0.92,0.92,0.94,"2026,03-1,06,12,53,00",888Star*,0,0,0.83,0.98,1.05
1381,150942377,All British Casino,2.28,3.25,2.9,40.2,28.2,31.6,91.65,2.5,3.1,2.8,37.05,29.88,33.08,92.62,0.89,0.92,0.97,"2026,03-1,06,23,05,00",All British Casin*,0,0,0.81,0.97,1.01
1412,151041716,Batery,2.65,3.1,2.4,33.8,28.89,37.32,89.56,2.45,3,2.7,36.71,29.98,33.31,89.94,0.87,0.89,0.94,"2026,03-1,06,23,13,00",Bater*,0,0,0.94,0.92,0.83
1378,150965416,BC.Game,2.32,3.15,2.96,39.68,29.22,31.1,92.05,2.5,3.1,2.74,36.78,29.66,33.56,91.95,0.89,0.92,0.95,"2026,03-1,06,23,05,00",BC.Gam*,0,0,0.82,0.94,1.03
1354,150963473,BeOnBet,2.32,3.15,2.96,39.68,29.22,31.1,92.05,2.6,3.25,2.56,35.52,28.41,36.07,92.34,0.92,0.97,0.89,"2026,03-1,05,14,42,00",BeOnBe*,0,0,0.82,0.94,1.03
1306,151024941,Bet Sensation,2.75,3.17,2.5,33.7,29.23,37.07,92.67,2.53,3.14,2.88,37.25,30.02,32.73,94.26,0.90,0.94,1.00,"2026,03-1,06,23,13,00",Bet Sensatio*,0,0,0.97,0.94,0.87
1167,151081152,Bet25,2.55,3.05,2.5,35.01,29.27,35.71,89.28,2.7,3.1,2.55,34.13,29.73,36.14,92.16,0.96,0.92,0.89,"2026,03-1,06,22,26,00",Bet2*,0,0,0.90,0.91,0.87
1210,150965424,Bet9ja,2.3,3.3,3,40.59,28.29,31.12,93.36,2.6,3.15,2.7,35.86,29.6,34.54,93.24,0.92,0.94,0.94,"2026,03-1,06,23,05,00",Bet9j* (尼日利亚),0,0,0.81,0.98,1.04
1377,150916149,Betano,2.35,3.35,3.05,40.45,28.38,31.17,95.07,2.57,3.15,2.9,37.01,30.19,32.8,95.11,0.91,0.94,1.01,"2026,03-1,06,23,05,00",Betan*,0,0,0.83,1.00,1.06
1403,151090475,BetAndYou,2.62,3.2,2.6,35.38,28.97,35.65,92.7,2.62,3.2,2.6,35.38,28.97,35.65,92.7,0.93,0.95,0.90,"2026,03-1,03,23,38,00",BetAndYo*,0,0,0.93,0.95,0.90
1096,151024937,Betboro,2.68,3.08,2.43,33.64,29.27,37.1,90.14,2.47,3.05,2.8,37.15,30.08,32.77,91.75,0.88,0.91,0.97,"2026,03-1,06,23,13,00",Betb*,0,0,0.95,0.92,0.84
